grabNumber,grabMsec,deviceSec,deviceUsec,cameraProperties,episode
261,48280,4645,886841,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
262,48405,4646,11833,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.1}",new.004.001.
263,48530,4646,136825,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
264,48655,4646,261818,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
265,48780,4646,386810,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
266,48905,4646,511802,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
267,49030,4646,636794,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
268,49155,4646,761786,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
269,49280,4646,886779,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
270,49405,4647,11771,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
271,49530,4647,136763,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
272,49655,4647,261755,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
273,49780,4647,386747,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
274,49905,4647,511740,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
275,50030,4647,636732,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
276,50155,4647,761724,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.002.
