nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9585162,30.3449584,7.745,5.355,0.0,0.0,0.0,-3.4803226641583485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.800+03: 00,46868,new.004.001.
59.9585118,30.3449552,7.747,5.261,0.0,0.0,0.0,-3.49092204870571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.900+03: 00,46969,new.004.001.
59.9585073,30.3449522,7.737,5.286,0.0,0.0,0.0,-3.4694562442354315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 06.000+03: 00,47074,new.004.001.
59.9585027,30.3449489,7.74,5.357,0.0,0.0,0.0,-3.4794011303132955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 06.100+03: 00,47170,new.004.001.
59.9584982,30.3449458,7.742,5.366,0.0,0.0,0.0,-3.4784028019811544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 06.200+03: 00,47276,new.004.001.
59.9584936,30.3449428,7.732,5.38,0.0,0.0,0.0,-3.465110374397966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 06.300+03: 00,47368,new.004.001.
59.9584891,30.3449394,7.724,5.361,0.0,0.0,0.0,-3.4910442217533495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.93,2024-07-19T11: 52: 06.400+03: 00,47468,new.004.001.
59.9584846,30.3449363,7.723,5.335,0.0,0.0,0.0,-3.4799072757963736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.97,2024-07-19T11: 52: 06.500+03: 00,47565,new.004.001.
59.95848,30.3449331,7.717,5.347,0.0,0.0,0.0,-3.48048148912028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.93,2024-07-19T11: 52: 06.600+03: 00,47667,new.004.001.
59.9584755,30.3449297,7.717,5.427,0.0,0.0,0.0,-3.4918400918922594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 06.700+03: 00,47767,new.004.001.
59.9584709,30.3449268,7.706,5.334,0.0,0.0,0.0,-3.4665624883356254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 06.800+03: 00,47866,new.004.001.
59.9584664,30.3449236,7.704,5.378,0.0,0.0,0.0,-3.4741127826797524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 06.900+03: 00,47965,new.004.001.
59.9584619,30.3449203,7.707,5.361,0.0,0.0,0.0,-3.4877647480888525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.93,2024-07-19T11: 52: 07.000+03: 00,48072,new.004.001.
59.9584573,30.3449172,7.704,5.355,0.0,0.0,0.0,-3.4796699110181026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.97,2024-07-19T11: 52: 07.100+03: 00,48168,new.004.001.
59.9584527,30.3449139,7.695,5.406,0.0,0.0,0.0,-3.4759331610895825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 07.200+03: 00,48267,new.004.001.
59.9584481,30.3449108,7.693,5.387,0.0,0.0,0.0,-3.47299053597072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.93,2024-07-19T11: 52: 07.300+03: 00,48370,new.004.001.
59.9584435,30.3449076,7.687,5.458,0.0,0.0,0.0,-3.4771618728829865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.79,2024-07-19T11: 52: 07.400+03: 00,48470,new.004.001.
59.9584391,30.3449044,7.69,5.3,0.0,0.0,0.0,-3.4811621675285584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.79,2024-07-19T11: 52: 07.500+03: 00,48566,new.004.001.
59.9584344,30.3449011,7.685,5.43,0.0,0.0,0.0,-3.4852270393564524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 07.600+03: 00,48668,new.004.001.
59.9584298,30.3448979,7.682,5.422,0.0,0.0,0.0,-3.4763276055005337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 07.700+03: 00,48767,new.004.001.
59.9584253,30.3448948,7.679,5.383,0.0,0.0,0.0,-3.4753903636922128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 07.800+03: 00,48866,new.004.001.
59.9584207,30.3448915,7.665,5.407,0.0,0.0,0.0,-3.480745033837331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 07.900+03: 00,48966,new.004.001.
59.9584162,30.3448884,7.669,5.325,0.0,0.0,0.0,-3.4775964598667333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.93,2024-07-19T11: 52: 08.000+03: 00,49072,new.004.001.
59.9584117,30.3448854,7.663,5.346,0.0,0.0,0.0,-3.464403516050908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.100+03: 00,49169,new.004.002.
59.9584073,30.3448823,7.656,5.253,0.0,0.0,0.0,-3.471967773029052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.200+03: 00,49272,new.004.002.
59.9584028,30.3448792,7.644,5.28,0.0,0.0,0.0,-3.474465339188656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.300+03: 00,49365,new.004.002.
59.9583984,30.3448762,7.647,5.207,0.0,0.0,0.0,-3.468477114525063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.400+03: 00,49479,new.004.002.
59.9583941,30.344873,7.643,5.15,0.0,0.0,0.0,-3.4930810209904273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.500+03: 00,49566,new.004.002.
59.9583898,30.34487,7.639,5.076,0.0,0.0,0.0,-3.480930038738043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.600+03: 00,49681,new.004.002.
59.9583856,30.344867,7.636,5.016,0.0,0.0,0.0,-3.480949237359815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.700+03: 00,49764,new.004.002.
59.9583813,30.3448643,7.631,4.99,0.0,0.0,0.0,-3.4674578422418985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.800+03: 00,49865,new.004.002.
59.9583772,30.3448613,7.634,4.927,0.0,0.0,0.0,-3.4764480332189214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 08.900+03: 00,49965,new.004.002.
59.9583731,30.3448585,7.63,4.853,0.0,0.0,0.0,-3.479685618981371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 09.000+03: 00,50072,new.004.002.
59.958369,30.3448557,7.637,4.828,0.0,0.0,0.0,-3.4722260817583472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 09.100+03: 00,50167,new.004.002.
59.958365,30.3448528,7.628,4.788,0.0,0.0,0.0,-3.482509561711097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 09.200+03: 00,50265,new.004.002.
59.9583611,30.3448501,7.631,4.624,0.0,0.0,0.0,-3.4879672062820837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 09.300+03: 00,50367,new.004.002.
59.9583571,30.3448474,7.632,4.688,0.0,0.0,0.0,-3.47194857440728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 09.400+03: 00,50472,new.004.002.
